,compound name,smile formula,EI99,Recipe,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,"1,1-difluoroethane",CC(F)F,0.030916965,0.10571136,-4.507220221,0.29360429,1.660033377,1.712958808,-0.887039581,1.735924393,2.279110608,0.126326313,0.587867265,-0.679111242,0.130422089,-0.389303952,0.782048166,-0.034659336,-0.313660578,-1.42890121,-0.079312248,-0.38241074,-1.031508901,-1.255595747,-1.77153819,-1.383336619,1.541922035,0.014137986,0.387106073,-0.068807843,2.124524457,0.207920097
148,"N,N-dimethylformamide",CN(C)C=O,0.015241727,0.055874301,-2.487695973,1.788913656,-0.914635737,-0.053687408,1.299813218,0.82205658,-0.073557436,-1.864457881,0.263733758,-0.179022102,-0.66387371,-1.284202224,1.53195431,-0.231037525,0.446727342,-2.1496271,1.622493223,0.847252279,-0.858183922,-0.225577035,0.056690469,-0.063838182,-0.061923652,0.888253027,-1.18539869,-0.520630134,-0.358041311,0.694029486
153,o-chlorotoluene,Cc1ccccc1Cl,0.012733335,0.053505616,0.531201563,-4.882755025,0.075821128,0.730652415,-0.130073657,-0.341686472,-0.692610984,-1.196194324,-1.161560154,1.579064335,-0.032149434,-1.328361607,-0.842623614,2.190660265,1.170455062,0.727545209,-2.235853787,-0.58147582,-0.737191363,-0.259168899,0.296921417,2.22600748,1.492349202,-0.588692164,0.20706283,-1.639074405,-0.146260977,0.833507817
178,pyrazole,[nH]1cccn1,0.083048922,0.34149506,-2.772656484,-0.458331229,-2.089294232,1.617280179,3.268265907,-1.220674192,1.093951986,-0.597807331,-1.145918036,2.184203925,-2.50601349,-3.335599971,2.357421432,1.33394237,-0.627063672,-2.408011926,0.310342675,0.498992949,2.917121455,1.138444027,0.686284868,0.315992748,-0.127918452,-0.130881208,0.392592427,0.548153151,0.003696148,-0.209614979
35,ascorbic acid,OCC(O)C1OC(=C(O)C1=O)O,0.16897627,0.14949989,5.612752404,7.748449276,-1.497614979,-1.498768129,0.846731338,-0.189907617,-1.322598405,4.66856651,3.969149698,-3.824375529,1.087954394,-2.578286252,-4.050030034,1.963011318,-3.357288628,-1.828517936,-1.843940077,-1.633902544,0.805489583,1.689534538,-1.138244894,1.118013286,0.651375973,3.806449893,1.435001893,-0.009583611,-0.608942406,-0.557965104
172,propanal,CCC=O,0.01614299,0.01614299,-3.725078776,0.267075131,-0.710512649,-0.815331757,-1.292826843,0.895039171,-0.488371561,-1.383947015,0.916182608,-0.62415281,0.170265173,-0.688593731,-0.039758701,-0.368595205,-1.703091784,-0.957327874,0.961265945,-0.688922001,-2.162936955,0.096524543,2.373056156,0.418786544,0.134085718,-1.500717805,-0.248991387,-0.311761623,0.636297575,-0.506250885
75,dichloropropene,CC=C(Cl)Cl,0.016512254,0.071605586,-3.041560934,-2.507684887,2.371418027,0.521161434,-0.05711326,-0.961586907,-1.53435828,-0.639157737,0.26696544,0.409448636,0.758582582,-1.399705509,-0.532380085,-2.013114763,0.528860342,0.28429417,-0.106655676,-0.609657227,-0.089268116,1.689396438,-1.093416717,-0.221849046,-0.031886589,-0.765815167,-1.865537713,0.641736957,0.887064929,-0.105589216
166,phosphorus pentachloride,Cl[P](Cl)(Cl)(Cl)Cl,0.02338932,0.066264172,-0.093584348,-1.505096277,10.555219,3.080340843,0.51447449,-2.118031223,-2.458707465,0.273685202,0.902848272,1.673594388,1.238424981,-0.287559665,-0.498413449,-4.605228608,1.203258362,0.899205967,-4.230840176,1.079781706,4.172009078,-0.582168258,3.364211119,2.548462792,1.980015469,3.55036274,-3.460742241,0.936524161,-2.601813774,-3.278288765
181,tetrachloroethylene,ClC(Cl)=C(Cl)Cl,0.00560625,0.068270691,-1.622725424,-2.742007368,5.009297889,1.682286107,0.210163615,-2.346413832,-3.070035689,-0.167580916,0.358683374,0.112231393,1.33399894,-1.561386508,-0.699475824,-3.0981868,0.75261158,0.556785318,-1.38678815,-0.667039741,0.186445939,-0.061428965,1.352326093,0.128814792,-0.641166273,0.452823397,-0.525885754,-0.618997796,0.124776479,0.681201363
19,acetoacetic acid,CC(=O)CC(O)=O,0.034315585,0.16266721,0.232875868,3.831880104,-0.606910062,0.07911683,-2.088018642,1.493999891,-1.394226938,-0.684332775,0.456024401,1.227704702,0.981174206,0.074370426,-0.215844025,-1.5331864,-2.926822186,-0.707929453,0.743883833,-0.356408612,-0.634057893,-1.124232121,-0.31892788,1.021116185,-0.847388579,1.150940771,0.982175159,-1.089169049,-0.689253906,-0.472374246
