,compound name,smile formula,EI99,Recipe,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
130,isopropylamine,CC(C)N,0.015519383,0.070315837,-4.278225562,-0.08744105,-1.120329739,-0.594038213,0.696379088,-1.842898869,1.745490471,-0.000177551,0.871127361,0.701086979,1.020528296,0.729734535,-0.940088176,-0.533255838,-0.506208135,1.874713334,0.096580733,1.426151927,-0.643039935,-0.489947559,-0.464426073,1.087084067,0.116339428,-0.292117873,0.409605348,0.554525221,0.646217468,-0.31305445
41,benzyl alcohol,OCc1ccccc1,0.021541683,0.082523247,0.649078163,-1.912290994,-1.933626759,-0.001767736,-1.18700285,-0.204522637,-0.216411853,-0.093641172,0.705784757,0.436617043,-0.448436081,-1.860998279,-1.543002381,1.746884346,0.41202132,0.791053946,-1.602937956,0.00661319,-0.802922171,0.213273637,-0.122451128,-0.630516806,0.470285943,-0.136708002,-0.286780349,0.002195638,-1.311537521,0.333019866
15,acetaldehyd,CC=O,0.007685992,0.034449096,-4.899553057,0.293458977,-0.830223433,-0.205335487,-1.089161472,0.617024128,-1.080811461,-0.984169114,1.126738461,-0.391873892,-0.035474253,-0.140286816,-0.091359501,-0.262727475,-2.021958062,-1.22230035,0.645517338,-0.883511907,-1.730550505,0.255474148,2.72222538,0.066121804,-0.304949095,-1.559541082,0.044872651,-0.399884299,0.632320678,-0.166243181
5,"2,4-di-tert-butylphenol",CC(C)(C)c1ccc(O)c(c1)C(C)(C)C,0.012539884,0.063466009,9.400005952,-5.435304671,-1.756368501,-2.783858399,-3.881485781,-0.923585767,2.717298184,1.606640243,0.138736733,1.11868691,1.975558173,1.143999042,1.236513503,-1.665290072,-1.080464718,-1.493079418,-1.996592186,1.594474143,-0.658980163,0.588679924,-1.02647502,-0.172396007,-0.9973641,-0.235537471,-0.281868996,-0.464648908,-0.264374178,-0.532854218
189,trichloropropane,CCC(Cl)(Cl)Cl,0.016593939,0.058403314,-1.774637919,-2.411603432,5.184585767,0.059154652,-0.180793109,-1.490542948,-0.705748166,-0.036418755,-0.158956709,0.08197289,1.419138919,-1.625539094,-1.100075555,-2.544457935,0.492697571,0.437607736,-0.577096893,-0.464659121,-0.224039515,-0.543168857,0.303698574,0.489587008,-0.410451124,0.961011023,-0.195130274,0.202347372,1.514812926,-0.478290014
137,methyl acrylate,COC(=O)C=C,0.007907861,0.050147013,-1.735048965,1.944259022,-0.222222229,-0.493155651,-1.302635593,1.932127228,-0.77504817,-2.521997019,1.243752733,-1.639688236,-1.560544236,1.173147496,2.10095507,0.427511108,-0.020880255,0.192692684,-2.072188283,-0.689606748,0.845908393,0.350482064,-0.218122677,-0.415458394,-0.301420964,0.377825173,0.152970436,0.700794138,0.275066757,0.413320677
40,benzene,c1ccccc1,0.008705678,0.035703379,-2.311649853,-4.146853817,-1.698166398,0.699595636,-0.608483759,0.12137347,0.151050823,-0.760382469,-0.153288478,2.519848843,-1.146272899,-1.586663735,-0.748911377,1.843720253,0.902618505,1.529508368,-1.03394914,-1.057204844,-0.024944429,1.150250079,0.521159271,0.046286919,-0.159577002,0.310580612,-0.215174898,0.636025591,-1.171974369,0.090449306
83,dimethyl sulfide,CSC,0.009079304,0.035648038,-5.291922182,-1.248676121,0.772771878,-0.457426488,0.202236504,-1.104117464,0.185999392,0.203373681,-0.436145008,0.644667047,-1.238815617,-0.454398418,0.296025475,0.526157729,0.765967752,0.387969764,1.061610398,0.048290596,0.281648334,0.08460221,0.116882317,0.442411741,-0.850425709,0.36917643,-0.291155789,-0.094531475,-0.143177593,-0.377117494
208,3-methyl-1-butanol,CC(C)CCO,0.018500141,0.10350623,-1.723184604,0.040570404,-0.173486447,-2.291668395,-0.413114727,-1.237776337,1.061830816,0.013761983,-0.182319715,-0.928992939,1.287128017,0.054044776,-1.345152507,0.3877596,0.115309815,-0.480895639,0.282403333,0.741322515,-0.417550192,-0.146741681,-1.204288318,0.157863003,0.854548258,0.161825405,-0.558362482,-0.4141878,0.343980132,-0.64789645
199,xylene,Cc1ccccc1C,0.010307251,0.02984524,0.06416524,-5.107893362,-1.01137816,-0.086415735,-0.227072887,-0.384313295,0.634177789,-1.29796192,-2.768060768,2.162087351,-0.242603299,0.917320594,-1.767926649,3.379103067,0.375052688,-0.64980409,-2.91108532,-1.63759794,1.206361839,1.476173565,-1.189741099,2.907098073,0.359180706,-0.661411694,0.8227134,-1.878995769,0.650902195,1.836311098
186,trichloroborane,ClB(Cl)Cl,0.022765938,0.07129034,-4.038696124,-1.189012581,4.982543912,2.516091723,0.436484225,-1.161042889,-0.971668901,0.82715079,-0.044544417,0.114211377,0.210521427,-1.16848523,0.293997428,-1.360904125,0.311175332,0.61133656,-0.311707015,0.129749475,0.939438735,0.181332019,1.345819183,0.294734188,-0.009446586,0.811130798,-0.434513468,-0.619509503,0.061954765,0.581629566
92,dodecanol,CCCCCCCCCCCCO,0.59062034,1.6125584,6.515179919,-1.670465257,0.636022279,-8.860017063,-2.520140612,-1.507814244,5.408526297,-0.570829197,-4.903172518,-1.884110092,4.745734699,0.133292926,-2.008070011,-3.072993842,-0.643513175,1.043855275,0.899018746,-1.677316741,3.818320359,-0.31367954,2.881439361,-3.756119009,2.293356038,-0.894463055,-0.761481656,1.011826281,0.921364462,2.915016277
